,mse,r2,pearson,spearman,features,target,model_classpath,model_hparams,trained_on,evaluated_on
130,21.889333645443198,-145.0483204545044,-0.26527994906929975,-0.23982331911047683,['fp'],score_scaled,fp,{'feature': 'fp'},all,narrativeqa
131,83.41433502906976,-1114.1454171874007,-0.21837935678258744,-0.17432065567309002,['fp'],score_scaled,fp,{'feature': 'fp'},all,quoref
132,9.901862777231509,-73.03276063976328,-0.45412573357041436,-0.5160834334487326,['fp'],score_scaled,fp,{'feature': 'fp'},all,socialiqa
133,10.605458495140896,-74.55211256417218,-0.1238827382886646,-0.39548942125642256,['char_edit_score'],score_scaled,char_edit_score,{'feature': 'char_edit_score'},all,all
134,1.418428924999119,-8.441031208837472,-0.38460398852999345,-0.6642683064471973,['char_edit_score'],score_scaled,char_edit_score,{'feature': 'char_edit_score'},all,cosmosqa
135,91.42962939285053,-678.7630504638512,-0.09135853987392172,-0.15838132657935125,['char_edit_score'],score_scaled,char_edit_score,{'feature': 'char_edit_score'},all,drop
136,4.672491555155749,-30.920307865849363,0.005177294049560892,-0.15798586083743563,['char_edit_score'],score_scaled,char_edit_score,{'feature': 'char_edit_score'},all,mcscript
137,3.0194296502819578,-19.146005186686573,-0.1453840612201449,-0.3744217022512596,['char_edit_score'],score_scaled,char_edit_score,{'feature': 'char_edit_score'},all,narrativeqa
138,70.30886736063192,-938.941692246562,-0.20080780052391148,-0.24296825596578348,['char_edit_score'],score_scaled,char_edit_score,{'feature': 'char_edit_score'},all,quoref
139,1.2159120928105238,-8.090948940740962,-0.3252970979109956,-0.5650965171821224,['char_edit_score'],score_scaled,char_edit_score,{'feature': 'char_edit_score'},all,socialiqa
140,9.311556981967927,-65.3345013864012,-0.14185812391724964,-0.37126736583554654,['word_edit_score'],score_scaled,word_edit_score,{'feature': 'word_edit_score'},all,all
141,1.8169090364305802,-11.09330592054204,-0.4379246204857696,-0.6523841095821593,['word_edit_score'],score_scaled,word_edit_score,{'feature': 'word_edit_score'},all,cosmosqa
142,78.14567638729795,-579.9992199940432,-0.09563714516455675,-0.17142249098984397,['word_edit_score'],score_scaled,word_edit_score,{'feature': 'word_edit_score'},all,drop
143,2.7352983341794244,-17.68629700049651,-0.053647201359774965,-0.13358077507700042,['word_edit_score'],score_scaled,word_edit_score,{'feature': 'word_edit_score'},all,mcscript
144,4.076852544278529,-26.201260507831996,-0.07958370098337646,-0.3076360187536366,['word_edit_score'],score_scaled,word_edit_score,{'feature': 'word_edit_score'},all,narrativeqa
145,59.21075415410565,-790.5737878884954,-0.20378946729735892,-0.2047420507116545,['word_edit_score'],score_scaled,word_edit_score,{'feature': 'word_edit_score'},all,quoref
146,1.8062266420960873,-12.504524114688868,-0.3515825048184213,-0.5556816736182745,['word_edit_score'],score_scaled,word_edit_score,{'feature': 'word_edit_score'},all,socialiqa
147,0.42052558201880713,-1.9957777047881269,0.42256862462069,0.4157050735288901,['bertscore'],score_scaled,bertscore,{'feature': 'bertscore'},all,all
148,0.48300294305276653,-2.2148567890522606,0.8045539669796498,0.7590699718673994,['bertscore'],score_scaled,bertscore,{'feature': 'bertscore'},all,cosmosqa
149,0.5052840885262805,-2.7566974256414234,0.17355727070593627,0.18885344814812696,['bertscore'],score_scaled,bertscore,{'feature': 'bertscore'},all,drop
150,0.4056841338017002,-1.771446945249545,0.17255612029191125,0.16059246541887134,['bertscore'],score_scaled,bertscore,{'feature': 'bertscore'},all,mcscript
151,0.3674663291268397,-1.4517804453005518,0.41939793682614934,0.4819134481653891,['bertscore'],score_scaled,bertscore,{'feature': 'bertscore'},all,narrativeqa
152,0.45076111840611116,-5.026112840936327,0.20789020593744878,0.2817407650759745,['bertscore'],score_scaled,bertscore,{'feature': 'bertscore'},all,quoref
